Name,Alias,Abbreviation,"Latitude, Longitude",Altitude,Alternate Entrances,Location Type,Address,Informative Text,Image
Creative School for Children,"CREATIVE SCHOOL FOR CHILDREN 1,CREATIVE SCHOOL II","CSC1,CS2","28.597020967121697, -81.1977818995297",0,,Building,12852 GEMINI BLVD. S.,"The Creative School for Children, established in the 1970s, originated from a Student Government proposal with funding from the Edyth Bush Charitable Foundation. Initially, it catered to married students with children, gradually expanding and addressing sustainability issues over the years.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b24.jpg
CREOL,CREOL BUILDING,"CREOL,CROL","28.601114989706616, -81.19755693386273",0,,Building,4304 SCORPIUS ST.,"CREOL, founded in 1986, expanded in 1991 with US Federal Government funding. Originally based in a rented facility, it relocated in 1996 due to space and environmental issues. Today, it is a prestigious optical science and engineering graduate college with multiple research centers.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b53.jpg
Dunkin Donuts,,DD,"28.60673065373701, -81.19852197721644",0,,Restaurant,4210 W. PLAZA DR.,"The Dunkin' Donuts, a popular on-campus eatery, offers a range of coffee, donuts, and breakfast items.",https://i.ibb.co/VvfHnN6/ezgif-1-1d9d685d0d.png
Education Complex and Gym,EDUCATIONAL COMPLEX & GYM,ED,"28.600047834550562, -81.20378869820543",0,,Building,12494 UNIVERSITY BLVD.,"In the 1970s, Florida Technological University integrated athletics and education in the $4.8 million Educational Teaching Gymnasium project (Building 21). The multipurpose facility housed sports programs alongside learning resources, classrooms, and faculty offices.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b21.jpg
Einstein Bros. Bagels,,,"28.60150511652381, -81.19905660317599",0,,Restaurant,12744 PEGASUS DR.,"Einstein Bros. Bagels is a popular on-campus eatery known for its variety of bagels, sandwiches, and coffee. It provides students and faculty with a convenient spot for a quick meal or snack.",
Emergency Operations Center,EMERGENCY OPERATION CENTER,EOC,"28.59254132590361, -81.19657861026332",0,,Building,3504 PERSEUS LOOP,"Founded in response to the need for comprehensive emergency management, it serves as a central command post for managing crisis situations at the university.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/EmergencyOperationsCenter.jpg
Engineering Building I,"Engineering I,Engineering 1,Engineering Building 1,Eng. 1","ENG1,ENG 1,EGN 1,EGN1,ENG I","28.601204191144472, -81.19860805919677",0,,Building,12760 PEGASUS DR.,"Engineering Building 1, built in 1986, has been a cornerstone of engineering education and research. It significantly expanded the university's engineering capabilities, supporting innovation and academic excellence in the field.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b40.jpg
Engineering Building II,"Engineering II,Engineering 2,Engineering Building 2,Eng. 2","ENG2,ENG 2,EGN 2,EGN2,ENG II","28.601667708601155, -81.19882316804419",0,,Building,12800 PEGASUS DR.,"Engineering Building 2, constructed in 2010, marked a substantial expansion in engineering facilities. It was designed to meet the growing demand for engineering education and research, offering modern resources and supporting academic excellence in the field.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b91.jpg
Facilities Operations,"FACILITIES & SAFETY - F,FACILITIES & SAFETY - A,FACILITIES & SAFETY - B,FACILITIES & SAFETY - D",FSB,"28.591333185512905, -81.1959844011491",0,,Building,3991 LIBRA DR.,"Facilities Operations, founded in 1978, has been responsible for maintaining and enhancing the university's infrastructure. It plays a vital role in ensuring campus functionality and providing a conducive environment for education and research.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b16.jpg
Fairwinds Alumni Center,,ALUM,"28.60586485865725, -81.19845393014488",0,,Building,12676 GEMINI BLVD. N.,"The FAIRWINDS Alumni Center, completed in 2005, is UCF's alumni association hub, offering 10,000 sq. ft. of event space. Dedicated on November 4th, it symbolizes UCF's commitment to past, present, and future alumni, faculty, and staff, with special financial privileges for UCF Alumni Association members.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b126.jpg
FBC Mortgage Stadium,Bounce House,"FS,BH","28.608760592262364, -81.19383165597262",0,,Building,4465 KNIGHTS VICTORY WAY,"FBC Mortgage Stadium was built as part of a $60m project, which was entirely funded through naming rights, tickets sales and corporate sponsorships, among other sources. The stadium has a seating capacity of 45,301 and covers 25 acres. The stadium features a four-level tower, which hosts sporting and administrative suites, a club lounge and a spacious press room. The playing surface is Tifway 419 hybrid Bermuda grass.",https://photos.app.goo.gl/qNaXWoJn8mGX94KL7
Ferrell Commons,"Ferrel Commons,JIMMIE FERRELL STUD SERV COMMO - E,JIMMIE FERRELL STUD SERV COMMO - F,JIMMIE FERRELL STUD SERV COMMO - G,JIMMIE FERRELL STUD SERV COMMO - B,JIMMIE FERRELL STUD SERV COMMO - C,JIMMIE FERRELL STUD SERV COMMO - D,JIMMIE FERRELL STUD SERV COMMO - A,JIMMIE FERRELL STUD SERV COMMO - H",FC,"28.598477802796584, -81.2000096504552",0,,Building,4121 PYXIS LN.,"Ferrell Commons, built in 1968, was originally designed for student social activities. It has since transformed into a multifunctional hub, housing offices such as Dining Services, the Knights Helping Knights Pantry, and support services for pre-professional students and legal counsel.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b7g.jpg
Fire Station #65,FIRE STATION NO. 65,FS65,"28.611529376906116, -81.19165410807584",0,,Building,4989 N. ORION BLVD.,"Orange County Fire Station #65, established in 2002, enhances campus safety. It provides fire and emergency medical services, safeguarding the university community and supporting rapid response to potential incidents and ensuring a secure environment.",https://photos.app.goo.gl/tveQLP9UK2r3BtZ36
Fraternity and Sorority Life,,G415,"28.603479839769886, -81.20648849590356",0,,Building,4100 GREEK PARK DR.,"The Fraternity and Sorority Life Building, established in 2019, serves as the central hub for the university's Greek organizations. It offers support, resources, and event space for fraternity and sorority life on campus.",https://fsl.sdes.ucf.edu/wp-content/uploads/sites/41/2020/08/FSL-Building-Zoom-Background.png
Gringos Locos UCF,"HS1,HPA1,HPA 1,HPA I,HPAI,HS I,HSI,HSC1",,"28.60709650671097, -81.19830736360508",0,,Restaurant,4258 W. PLAZA DR.,"Gringos Locos is a popular on-campus dining spot known for its Mexican-inspired cuisine, including tacos and burritos. It provides a convenient and flavorful dining option for students, faculty, and visitors.",https://gringoslocos.com/site/wp-content/uploads/UCF-exterior.jpg
Health Center,,HC,"28.5991431760694, -81.19921120574435",0,,Building,4098 LIBRA DR.,"Health Services, established in 1968, houses a 32,000 sq. ft. Health Center providing low-cost medical services and a pharmacy. The Knight Aide Pharmacy in Knight's Plaza offers medications and convenience items. The UCF Dental Center, open to students irrespective of insurance, launched in 2009.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b127.jpg
Health Sciences I,"Health & Public Affairs I,Health & Public Affairs 1,Health Science 1,Health and Public Affairs building 1,Health Sciences 1,Health Sciences Building 1","HS1,HPA1,HPA 1,HPA I,HPAI,HS I,HSI,HSC1 ,HS 1","28.602892844289645, -81.19887372530371",0,,Building,12805 PEGASUS DR.,"Health Sciences I, completed in 1998, was established to accommodate the College of Health and Public Affairs. It addressed a substantial increase in enrollment, featuring a 92,000 sq. ft. space with departments like Criminal Justice and Communication Sciences and Disorders.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b80.jpg
Health Sciences II,"Health & Public Affairs II,Health & Public Affairs 2,Health Science 2,Health and Public Affairs building 2,Health Sciences 2,Health Sciences Building 2","HS2,HPA2,HPA 2,HPA II,HPAII,HS II,HSII,HSC2,HS 2","28.603264056939988, -81.19801660539085",0,,Building,4364 SCORPIUS ST.,"Health Sciences II was constructed to meet the growing academic needs of the College of Health and Public Affairs. This expansion facility, dedicated in 2004, plays a crucial role in supporting health and public affairs education and research.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b90.jpg
Hercules Community,"HERCULES BUILDING 113,HERCULES BUILDING 110,HERCULES BUILDING 109,HERCULES BUILDING 108,HERCULES BUILDING 114,HERCULES BUILDING 112,HERCULES BUILDING 111",,"28.603278268289532, -81.19799106656319",0,,Other,,"Hercules Housing Communities was built in 2001-2002 to address UCF's growth. It offers dorm-style and apartment housing for students. Common areas, laundry facilities, and events are provided, with special parking permits required.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b108.jpg
Housing Administration,"HOUSING ADMINISTRATION BLDG,HOUSING ADMINISTRATIVE SERVICES",HAB,"28.597411808014762, -81.19844261366794",0,,Building,12851 GEMINI BLVD. S.,"The Housing Administration Building, established in 1994, has been pivotal in managing the university's on-campus housing operations. It serves as a central hub for housing-related services, facilitating residential life for students.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b73.jpg
Howard Phillips Hall,,HPH,"28.600116766919, -81.20253031375658",0,,Building,4297 ANDROMEDA LOOP N.,"Howard Phillips Hall, initially the General Classroom Building, constructed in 1969, spans 35,808 sq. ft. over four floors. It houses multiple departments and programs, including First Year Advising, anthropology, political science, and sociology. The building was renamed after a philanthropic contributor.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b14.jpg
John Euliano Park,,JEP,"28.60937574429579, -81.19623285474339",0,,Building,4422 KNIGHTS VICTORY WAY,"John Euliano Park, formerly Jay Bergman Field, is the UCF Knights baseball team's home stadium, renamed in 2016 after alumnus John Euliano's $1.5 million donation. Initially built in 2001 as Jay Bergman Field, it expanded its capacity and received recent upgrades, such as a Home Plate Tower with club seats and an air-conditioned lounge, offering a better experience for players and fans.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b_basefield.jpg
Knights Pantry,Knights Helping Knights,,"28.597776401792864, -81.19916165035339",0,,Other,4133 PYXIS LN.,"The Knights Helping Knights Pantry started in 2009 as a student-led initiative, aiding those facing financial hardship by providing free groceries and essential items. It expanded from a small closet to a suite in Ferrell Commons and relies on campus and community support.",https://photos.app.goo.gl/6ueAqbeLWPaJT9UQ9
Knights Plaza,,KP,"28.606644243165658, -81.1977582410882",0,,Other,4200 W. PLAZA DR.,"Knights Plaza, established in 2007, is a dynamic commercial and residential complex adjacent to UCF's main campus. It houses various dining options, entertainment venues, and student housing, enhancing the university's vibrant community.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b137.jpg
L3Harris Engineering Center,"L3 Harris Engineering Center,Harris Corporation Engineering",HEC,"28.60077988716622, -81.19762467644716",0,,Building,4328 SCORPIUS ST.,"The Harris Corporation Engineering Building, a 112,068 sq. ft. structure, houses the Department of Electrical Engineering & Computer Science. Completed in 2004, it offers educational and research facilities, offices, collaborative spaces, and supports student advising, faculty-student interaction, and advanced research. Located alongside other engineering facilities, it forms a technology hub on campus.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b116.jpg
Lake Claire Recreation,"Lake Claire,LAKE CLAIRE BUILDING 65,LAKE CLAIRE BUILDING 57,LAKE CLAIRE BUILDING 56,LAKE CLAIRE BUILDING 55,LAKE CLAIRE BUILDING 59,LAKE CLAIRE BUILDING 61,LAKE CLAIRE BUILDING 60,LAKE CLAIRE BUILDING 64,LAKE CLAIRE BUILDING 63,LAKE CLAIRE BUILDING 67,LAKE CLAIRE BUILDING 66,LAKE CLAIRE BUILDING 70,LAKE CLAIRE BUILDING 69,LAKE CLAIRE BUILDING 68,LAKE CLAIRE BUILDING 58,LAKE CLAIRE BUILDING 62,LAKE CLAIRE BOATHOUSE,LAKE CLAIRE RESTROOM BLDG","LKB,LKG","28.60690525888364, -81.20280545249912",0,,Other,12467 GEMINI BLVD. N.,"Lake Claire Recreation Area, established in 1972, underwent renovations in 1981 and 2011. The 2011 reconstruction cost $1.7 million and added pavilions, sand volleyball courts, updated infrastructure, a boat house, and expanded seating for up to 100 people.",https://photos.app.goo.gl/Awnb4ihnZFBhbP8N7
Leisure Pool,LEISURE POOL SERVICES,LPS,"28.595500848078515, -81.19837823210847",0,,Other,12826 GEMINI BLVD. S.,"The Leisure Pool was constructed in 2006 as a recreational aquatic facility. It offers a relaxing and enjoyable space for students and the UCF community, enhancing campus life with water-based activities and events.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b118.jpg
Libra Community,"LIBRA COMMUNITY CENTER,LIBRA GARAGE",LCC,"28.598474912501025, -81.19916940485172",0,,Other,4040 LIBRA DR.,"The Libra Community, founded in 2002, is a residential community designed for upper-class students, featuring apartment-style housing. It promotes a supportive environment for academic success and personal growth.",https://map.ucf.edu/media/uploads/images/libra.jpg
John C. Hitt Library,"UCF Library,UCF Main Library,John C Hitt Library",LIB,"28.600977024541596, -81.2010800242178",0,,Building,12701 PEGASUS DR.,"Florida Technological University was established in 1968, with its library as the inaugural campus building. Over the years, it evolved to support various university functions. The library expanded in 1981, introducing additional floors, government documents, university archives, and the Dial-A-Book interlibrary loan system. Renovations occurred in 2010, and in 2012, it was renamed the John C. Hitt Library. The main library branch now houses approximately 1,280,000 volumes, serving as a central academic resource.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b2.jpg
Live Oak Event Center,Live Oak,,"28.597876354294673, -81.2004433884221",0,,Other,4115 PYXIS LN.,"The Live Oak Event Center, a versatile venue on campus, hosts academic events, community functions, and serves as an overflow testing center during finals. It reflects a shift from laurel oaks to live oaks due to greater resilience in Florida's hurricane-prone environment.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b7ab.jpg
Mathematical Sciences,"Mathematical & Science Building,Mathematical and Science Building,Mathematical Science,MATHEMATICAL SCIENCES BUILDING",MSB,"28.59981433839861, -81.20049439056874",0,,Building,4393 ANDROMEDA LOOP N.,"The Math and Physics Building, initially the Science Technology Building in 1970, was designed for science and technology, accommodating department offices, classrooms, labs, faculty offices, mechanical and electrical shops, and a library-reading room. It features four different entry points and a central pendulum. Today, it houses the Math and Physics departments and offers various classroom sizes and a Math Lab for student support.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b12.jpg
Memory Mall,,,"28.6047416504681, -81.19879274950445",0,,Other,,"Memory Mall is a bustling outdoor space, popular among students for tailgaiting, recreational sports, outdoor club meetings, and UCF events. With hammocking trees on one end, and Knights Plaza on the other, Memory Mall is the main sports tailgate location.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b_us.jpg
Millican Hall,,MH,"28.59930057035507, -81.20216400330855",0,,Building,4365 ANDROMEDA LOOP N.,"Millican Hall, constructed in 1970, serves as UCF's administrative office. It was named after Charles Millican, the founding president who transformed the college into a prominent technological university. Today, it houses academic affairs, administration, and other services.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b1.jpg
Nature Pavilion,TIMOTHY R. NEWMAN  PAVILION,TRNP,"28.602114272192967, -81.1940824400291",0,,Other,,"The Nature Pavilion, established in 2012, provides an outdoor educational environment for students and the community. It offers opportunities for hands-on learning, research, and appreciation of natural ecosystems.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/NRP_329.jpg
Neptune Community,"Neptune,NEPTUNE BUILDING 158,NEPTUNE BUILDING 157,NEPTUNE BUILDING 156",NEP,"28.594266518173047, -81.1986603382029",0,,Other,3700 LIBRA DR.,"The Neptune Community, founded in 2002, offers on-campus housing for upper-class students. With apartment-style living, it provides a supportive and engaging environment, contributing to the overall campus residential experience.",https://www.housing.ucf.edu/wp-content/uploads/sites/34/2018/11/6K4A9786.jpg
Nicholson Fieldhouse,NICHOLSON FIELD HOUSE,NFH,"28.60700150026059, -81.19422852760422",0,,Building,4200 N. ORION BLVD.,"The Nicholson Fieldhouse, built in 1993, serves as an indoor training facility for student-athletes. It features equipment for various sports, enhancing athletic performance and training capabilities for UCF teams.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b128.jpg
Nicholson School of Communication and Media,"Nicholson School of Communication,Communications and Media Building,Nicholson Communications,NICHOLSON SCHOOL OF COMM. & MEDIA","NSCM,CMB,NSC,COMM","28.60353195240417, -81.20301362760581",0,,Building,12405 AQUARIUS AGORA DR.,"The UCF Nicholson School of Communication (NSC) Building, constructed in 1997, has been a vital center for communication and media education. It provides resources and spaces that support academic and creative endeavors in the field.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/NSC_75.jpg
Nike Community,"Nike,NIKE BUILDING 107,NIKE BUILDING 106,NIKE BUILDING 102,NIKE BUILDING 103,NIKE BUILDING 105,NIKE BUILDING 104,NIKE BUILDING 101",,"28.594712851269104, -81.19862469939254",0,,Other,3724 LIBRA DR.,"The Nike Community, established in 2001, offers on-campus housing for students. It provides apartment-style living, fostering a supportive environment for personal and academic growth while contributing to the overall campus residential experience.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b101.jpg
Parking Garage A,Garage A,PGA,"28.599332821934038, -81.20514796510884",0,,Parking,12491 UNIVERSITY BLVD.,"Parking Garage A, built in 2007, is a multi-level parking facility accommodating students and faculty. Its strategic location enhances campus accessibility and addresses the growing demand for parking spaces.",
Parking Garage B,Garage B,PGB,"28.596907656117335, -81.20106719250259",0,,Parking,4799 HYDRA LN.,"Parking Garage B, constructed in 2000, serves as a multi-level parking facility to address the university's increasing parking needs. Its location enhances campus accessibility and offers convenient parking for students and faculty.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/bu1.jpg
Parking Garage C,Garage C,PGC,"28.602938843410303, -81.19599800496857",0,,Parking,12998 GEMINI BLVD. E.,"Parking Garage C, built in 1998, provides multi-level parking to address the university's growing demand for parking spaces. It enhances campus accessibility and serves as a convenient option for students and faculty.",
Parking Garage D,Garage D,PGD,"28.60486103987161, -81.19650591901235",0,,Parking,12898 GEMINI BLVD. N.,"Parking Garage D, constructed in 2002, caters to the university's expanding parking requirements. Its strategic location improves campus accessibility, offering a convenient parking solution for both students and faculty.",
Parking Garage E,Garage E,PGE,"28.606166421132492, -81.19529030591929",0,,Parking,4220 MENSA LN.,"Parking Garage E primarily serves UCF Towers residents, addressing their parking needs and enhancing accessibility to their housing.",
Parking Garage F,Garage F,PGF,"28.60892355844714, -81.19635973042527",0,,Parking,4403 KNIGHTS VICTORY WAY,"Parking Garage F was built in 2008. It primarily serves as a parking facility for special events and occasions at the CFE Arena, offering convenient parking options for attendees.",
Parking Garage G,Garage G,PGG,"28.608638867989267, -81.19746058930818",0,,Parking,4282 W. PLAZA DR.,"Parking Garage G was constructed in 2008. It primarily serves the Towers at Knights Plaza, offering convenient parking for residents and visitors.",
Parking Garage H,Garage H,PGH,"28.605421238796517, -81.20059164303251",0,,Parking,12638 GEMINI BLVD. N.,"UCF's newest parking garage on Gemini Boulevard, completed in April 2011, offers 1,326 parking spaces. It aims to reduce congestion on the west end of campus, improve access to events, and incorporates sustainable design features, including an internal storm-water retention vault to save costs.",
